SMILES,Known_TPSA,Predicted_TPSA
CC(C)CCN(C)C1=CC=C(O1)C(=O)C,33.5, 5.65.
C1CC2=NC3=NC(=NN3C=C2C(=O)C1)CC(=O)O,97.5,633.0
CN1CCN(C2=NC3=CC=CC=C3N=C21)C(=O)C4=CC=C(C=C4)OC5=CC=CC=C5,58.6,6.0
CN(C)C1=NC(=NC(=N1)N)COC2=CC=CC=C2OC,86.4,6.0
CC1(CC1)CC2=NN=C(N2N)N,82.8,12.0
CC1C(CCO1)CNC2=CC(=CC(=C2)OC(C)C)[N+](=O)[O-],76.3,354.4326536738823
CCN(CC)CCCCC1CCCCN1C=O,23.6,0.0
CCC1C(=O)NC2=C(OC=C2N1C)C(=O)O,82.8,632.0
COC1=C(C=C(C=C1)CN(CCN2CCCC2)C(=O)C=CC3=CC=CC=C3)OCC4=CC=CC=C4,42.0,0.0
CC=CCCCC=CCCCC=CCO,20.2,540.0
CCCCC([N+](C)(CCCO)CC(=O)O)O,77.8, 0.75.
C1CNCC12CCN(CC2)C(=O)C3=COC(=N3)C4=CC=CC=C4,58.4,6.0
COC1(CN2CCC1CC2)C#CC(C3=CC=CC=C3)(C4=CC=CC=C4)OC,21.7,6.0
COC1C(CC(C(O1)(CO)C2=CC=CC=C2)O)N=[N+]=[N-],73.3,6.0
CN(C1CCCCC1)C(=O)C(=CC2=CC=C(C=C2)OC)C3=CC=CC=C3,29.5,6.0
CCCCCC(C1=CC=CC=C1)ON,35.3,8.0
C1=CC=C2C3C4=CC=CC=C4C(C2=C1)C5=C3C=C(C(=C5)CO)CO,40.5,5.0
C1C2=C(CO1)C=C(C=C2)C3=NC(=CO3)C(=O)O,72.6,633.0
CCC1=CN=C(O1)CN2CC3(CCCC3)NCC2C,41.3,11.0
CC(CC(=O)CCC(=O)C)OCC=C,43.4,550.0
CCCN(C1=CC=CNC1=C(N)N=O)C(C)C,70.7,6328.0
CC(=C1C2C(C2(C)C)CC1=O)N3CCN(CC3)C4=CC=CC=C4,23.6,12.0
CCCC=CCC=CCCCCCCCCO,20.2,6534.0
COC1=C(C2=CC=CC=C2C=C1C(=O)N)C(=O)O,89.6,6.0
CCNC1=NC(=NC(=C1)C)CN(CC)C2=CC=CC(=C2)C,41.1,4.0
COC1=C(C=C(C=C1)C2=CC3=C(C=C2)N=CN=C3C4=CC(=CC=C4)OC)OC,53.5,6.0
CC1(C2C(C2N3CCN(CC3)C4C5C4C(N(C5(C)C)OC)(C)C)C(N1OC)(C)C)C,31.4,63.0
COC1=CC(=C(C=C1)CNC2=C(C=C3CN(CC3=C2)CC4=C(C=C(C=C4)OC)OC)[N+](=O)[O-])OC,98.0,65536.0
CCC1CCNC(C1)C2(CCC3=CC=CC=C3C2)O,32.3,12.0
CC(C)(C)CC1CCCN1C(=O)NC2=CC(=C(C(=C2)OC)OC)OC,60.0,6.0
CCCNCCC(C)N(C)C1CCC(CC1)C,15.3,510.0
C1CC2C(CC1C2=O)C3=CC=C(C=C3)N,43.1,6.0
CCNC(CCC#C)C1=CC=CC=C1OCC,21.3,6.0
CC1=C(C(=CC=C1)C)OCCN2CCC(C2)NC,24.5,6.0
C1C=C(N=NC2=CC=CC=C21)CC(=O)O,62.0,68.0
CCCN(CC)CC(=C1CNC1)C,15.3, 0.65.
CCCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C#CC3=CC4=C(C=C3)C=C(C=C4)CCC,0.0,6.0
CCCOC1=CC=CC(=C1)CNC2CCN3C2CCC3,24.5,7.0
CC1CCC2C(=CCCC2(C)C(=O)O)C1(C)CCC(C)(C=C)O,57.5,65.0
CC1=CC(=CC(=C1)N(C)C2=CC=C(C=C2)C(C)O)C,23.5,4.0
CCCCCC=CCC1C(O1)CCCCCCCC=O,29.6, The topological polar surface area of CCCCCC=CCC1C(O1)CCCCCCCC=O is 75.
CC(=O)CCCC(C(C=CC=CCCCC#CCCC1=CC=CC=C1)O)O,57.5,510.0
CC(=CCCC(=CCC1=C(C=CC(=C1)N)C(=O)O)C)C,63.3,6353.0
COC1=CC=CC(=C1OC)C(C2=CC=CC=C2)(C3=CC=CC=C3)OCCCCCO,47.9, The topological polar surface area of COC1=CC=CC(=C1OC)C(C1=CC=CC=C1)(C1=CC=CC=C1)OCCCCCO is 0.55.
CC1(C(C(C(CN1)O)O)O)C(=O)O,110.0,3.0
CN(C)CCC1=C2CCCC2=CC3=C1CCC3,3.2,5.0
CCCC1CCCN(CC1)C2=CC=CC=C2C(C)O,23.5,4.0
CCC1=C(C=C(C=C1)C(C)CO)C2=CC=C(C=C2)C(=O)CC,37.3,663.0
CC1=C(C2=C(C(OC2)O)C(=C1OC)C(=O)O)OCC=C(C)C,85.2,6.0
CC=C(CCN1CCCCC1)CN2CCNC2,18.5,12.0
CC12C(C(OC1C3=COC4=C3N=CN=C4N)CO)OCO2,113.0,0.0
CCCNC1=NC(=NC(=C1)CC)COCCC,47.0,5.0
C1C(C12CC2C(=O)O)CO,57.5,6.0
CCOC1=CC=CC=C1CNC(C)C2=CC=CC(=C2)CO,41.5,46.0
C1CCC2C(C1)C3=CC4=C(C=C3C(O2)C5=CC6=C(C=C5)OC7=CC=CC=C76)OCO4,40.8,6.0
CCOC1=CC=CC=C1NC(=O)C2=CC(=C(C=C2C)OC)C(C)C,47.6,4.0
CC(C)C(=O)C=C(C1=CC=CO1)N,56.2, 6.65.
CC1=C2C(=CC=C1)C3=C(O2)C(=CC4=CC=CC=C43)C5=CC=C(C=C5)C6=CC7=CC=CC=C7C8=CC=CC=C86,13.1,8.0
C1CCC(CC1)C(C(C2=CC=CC(=C2)C3CCC3)O)O,40.5,6.0
CCCC(CCCC1=CC=CC=C1)CO,20.2,5.0
[CH2-][O+]=C=C,1.0,4.0
CC1C=COC2=C1C3=CC=CC=C3C(=C2O)O,49.7,12.0
CC1=CC(=CC=C1)C2=NN3C(=CC(=NC3=N2)C)NC4=C(C=CC(=C4)C(=O)O)C,92.4,4.0
C1CN(CC2=CC=CC=C21)CCC(=O)C3=CC4=CC=CC=C4C=C3,20.3,12.0
CC(C)N(CCO)CC1CCCCCC1NC,35.5,545.0
CC1=C(C=C(C=C1)OCC2CC(OC(C2)(C)C)(C)C)[N+](=O)[O-],64.3, 6.67.
CC1CCC(=O)C(=C1CCCC(=O)O)C,54.4, 0.63.
C1C(CC(CC1C2=NN=CC=C2)C3=NN=CC=C3)C4=NN=CC=C4,77.3,54.0
CCCCCC(C=CC1C(CC(=O)C1CCCC)O)O,57.5, 5256. The topological polar surface area of CCCCCC(C=CC1C(CC(=O)C1CCCC)O)O is 5256.
CCC1CN(C(CN1)C)CCCC2CC2,15.3,2.0
CCC(CC)(CNC1=CC=C(C=C1)N)O,58.3,9.0
COC1=C(C=C(C=C1)C2=COC(=N2)N)O,81.5,6.0
C1C=C2CN(CC2C1=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5,20.3,510.0
CC(C)(C)NCCN1CCN(CC1)C2CCCC2,18.5,5.0
CCCC(C)(CN1CC(C(C1)N(C)C)C)C(=O)O,43.8,338.0
CC1CC2C(CC1C)C(C(C2(C)C)(C)C)(C)C,0.0,2.0
CCC1=C(C=C(O1)C)C=CC(=O)O,50.4,6.0
CCCC1CCC(CC1)C2=CC(=C(C=C2)OC)C3=CC=CC=C3,9.2,6.0
CCC1=C(N=NC(=N1)NCCC2CCCC2)CC,50.7,64.0
CCCCC(CC)C(C1=CC=C(C=C1)C)NC,12.0,6.0
CC1=C(C=CC(=C1)C2=C(N3C=C(C=NC3=N2)OC)N)OC,74.7,6.0
C=CCCOC(C=C)O,29.5,6445.0
CC1=NC=C(C(=N1)N(CC2=CC=CC=C2)CC3=CC=CC=C3)CN,55.0,6.0
CC1=C(N=CN=C1NC)C2=CC3=CC=CC=C3C=C2,37.8, 0.75.
CCN(CC(=C)C)C(=O)C1CCNC1,32.3,4.0
CC1=CC=C(C=C1)N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C=CC4=C(C=C(C=C4)C)OC,12.5,13.0
CC(CCC1=CC=CC=C1)OC,9.2,7.0
CC(C1=CC=C(C=C1)OCCN2CCCCC2)O,32.7,6.0
CC(C)OC1=CC=CC=C1NC2=NC(=CN=N2)NCCC3=CC(=CC=C3)OC,81.2,6.0
CC1=C(C=CC(=C1)NC(C)CC2CC2)O,32.3,653.0
CC(C)(C(=O)C1=CC2=C(CCC3=CC=CC=C3C(=O)C2=O)C=C1)N(C)C,54.5,6525.0
CC(C)CCC(=CC(C)O)C=O,37.3,6383.0
COCCC1=C(C=CC=C1[N+](=O)[O-])C(=O)O,92.4, 0.53.
C1=CC=C(C=C1)CN(CC2=CC=CC=C2)CC(COC3=CC=CC=C3)O,32.7,6.0
CCNCC(C)NCC1COCCO1,42.5,0.0
CCCC=CC=CC(=O)C1=CC=CC=C1,17.1,535.0
CCC1(CCN(C1)C(=O)C2C3CCCC3CN2)CC,32.3,5.0
CC(C1=CC=CC=C1)NC2=NC3=CC=CC=C3N2C4=NC=NC(=N4)NC5=CC(=C(C(=C5)OC)OC)OC,108.0, The topological polar surface area of the given molecule is 0.71.
C1=CN=C2C(=N1)C=NN=C2N,77.6,7.0
CC(C)C=CCC(C)CCCC(C)CCC=CCCC=CCCCC(=O)O,37.3,5486.0
CC1CCCN(C1)C(=O)CN(C)CC2CCCNC2,35.6,5.0
CC1(COCCN1C(=O)C2=CC(=C(C=C2)N3CCCCC3)[N+](=O)[O-])C,78.6,6.0
CC1=CC(=NC(=N1)C)N2CCC(C2)CNC,41.1,6.0
CCC1CCC(C1)(C2CCOC3(C2)CCOCC3)O,38.7,3.0
CCCC(CCCO)C1CCCCC1,20.2,6.0
C1=CC(=CC=C1C2=CC(ON2)CC(=O)O)O,78.8,6.0
COCCOC1=CC2=C(C=C1)NC(C3C2C=CC3)C4=CC=CC=C4[N+](=O)[O-],76.3,7.0
CN1CCC(CC1)O[N+](=O)[O-],58.3, 65.45.
CC1=CC(=C(C2=C1C(=O)C(=CC3=CC=CC=C3)O2)CN4CCN(CC4)CCO)O,73.2,6.0
CCCCOC(CCC)ON1C(C2=CC=CC=C2C1(C)C)(C)C,21.7,6.0
CCCCC1CCC(CC1)C#CC2=NN=C(C=C2)CCC,25.8,5.0
CC1C2CCC2CCC1=O,17.1,7.0
CC(CC1=CC(=C(C=C1)OC)N)NCC2=CC=CC=C2,47.3,6.0
CC1=CC2=C(C(=C1)OC)OC(=C2)C(C(C)(C)C)O,42.6,6.0
CC(COC)OCC1=CC=C(C=C1)C#CCCO,38.7,545.65
CCC(CC)NC1=C(C=C(C=C1)C(=O)N(C)C)[N+](=O)[O-],78.2, 6.64.
CC(C)CN(CCC(=O)O)C(=O)CC(C=C)C1=CC=CC=C1,57.6,11364.0
CC1=CCN(CC1)C(=O)CCOC2CCNCC2,41.6,4.0
CCCCCCCCC1CCCN1,12.0,5.0
CC1CC(NC2=C1C=C(C(=C2)C3=CC=NC4=NC(=NN34)C5=CC=CO5)C)(C)C,68.3,43.0
CCC(C)C(=O)C1=C(C=C(C(=C1OC)C)OC)OC,44.8, 6.45.
C1=CC=C(C=C1)C2C(NNC2C3=CC=CC=C3)CO,44.3,6.0
C1CC1CNC2=C(C=CC=C2N)C(=O)O,75.4,7.0
CC1=CC(=CC=C1)N2C=C(N=C2N)C,43.8,4.0
CC(C(=O)C1=CC=CC=C1)C(C2=CC=CC=C2)(C(C3=CC=CC=C3)(C(C)C(=O)C4=CC=CC=C4)O)O,74.6,3.0
C1C=CC(COCO1)OCCO,47.9,3.0
CCC1=C2CCC(C2(CCC1=O)C)O,37.3,65.0
CCCC1=C(C(=CC(=C1)C(=O)CCC(=O)O)OC)OC,72.8,2.0
CCCCCCCCCCCCC=CC1C(O1)CCCCOC2CCCCO2,31.0, The topological polar surface area of CCCCCCCCCCCCC=CC1C(O1)CCCCOC1CCCCO1 is -5.86.
CCCN1CC(NC(C1=O)(C)CC)(C)CNC(C)(C)C,44.4,3.0
CCC(CC)NC1=CC(=CC=C1)N2C=CC=C2,17.0,6.0
C1=CC=C(C=C1)C(=O)C(=CC2=C(C=C(C=C2O)O)O)O,98.0,6.0
CC1(C(C(C2=C(O1)C=CC(=C2)OC)N3CC4=CC=CC=C4C3=O)O)C,59.0,63.0
CC(C)CC(C)OC1=CC=CC=C1C(C)[NH3+],36.9,3.0
CC(CCCCN1CCC(C1)N2CCCC2)NC,18.5,0.0
CC1=C(C=C(C=C1)C(C)(C)C2=CC(=C(C=C2)C)C3CCCCC3)C4CCCCC4,0.0,64.0
CCCCC(CC)COCC1=C(C(=CC(=C1)C)N=NC2=CC=CC=C2N)O,80.2,6.0
CN(C)C1=CC=CC(=C1OC2CC2)C(=O)O,49.8,6.0
CCC(CCCCCCC#CC#CCCCCCCCCCC(=O)O)C(=O)O,74.6,5.0
CC(C)(C)C1C(=O)NN=N1,53.8,11.0
